_date,total_clones,unique_clones
2023-03-02,4,2
2023-03-05,4,4
2023-03-06,3,2
2023-03-07,1,1
2023-03-09,1,1
2023-03-10,1,1
2023-03-12,1,1
2023-03-13,5,4
2023-03-16,1,1
2023-03-18,2,2
2023-03-19,1,1
2023-03-20,3,2
2023-03-23,1,1
2023-03-24,1,1
2023-03-25,2,1
2023-03-26,1,1
2023-03-27,4,3
2023-03-29,4,3
2023-03-30,1,1
2023-03-31,2,2
2023-04-02,1,1
2023-04-03,4,2
2023-04-04,1,1
2023-04-09,2,2
2023-04-10,1,1
2023-04-11,1,1
2023-04-12,1,1
2023-04-16,1,1
2023-04-17,3,2
2023-04-20,1,1
2023-04-21,2,2
2023-04-23,1,1
2023-04-24,4,3
2023-04-25,1,1
2023-04-29,1,1
2023-04-30,1,1
2023-05-01,3,2
2023-05-03,2,2
2023-05-06,1,1
2023-05-07,1,1
2023-05-08,3,2
2023-05-09,1,1
2023-05-10,2,2
2023-05-11,1,1
2023-05-14,1,1
2023-05-15,2,1
2023-05-17,2,2
2023-05-18,3,2
2023-05-19,1,1
2023-05-20,2,1
2023-05-21,11,6
2023-05-22,13,7
2023-05-24,1,1
2023-05-25,1,1
2023-05-27,1,1
2023-05-28,2,2
2023-05-29,4,3
2023-05-30,2,2
2023-05-31,1,1
2023-06-01,1,1
2023-06-02,1,1
2023-06-04,1,1
2023-06-05,3,2
2023-06-07,2,1
2023-06-10,1,1
2023-06-11,2,2
2023-06-12,3,2
2023-06-13,2,2
2023-06-14,1,1
2023-06-15,2,2
2023-06-16,1,1
2023-06-18,1,1
2023-06-19,1,1
2023-06-22,2,1
2023-06-23,1,1
2023-06-25,1,1
2023-06-26,3,2
2023-06-27,1,1
2023-06-29,1,1
2023-07-02,1,1
2023-07-03,3,2
2023-07-09,3,3
2023-07-10,2,1
2023-07-11,1,1
2023-07-13,1,1
2023-07-14,2,1
2023-07-15,2,2
2023-07-16,2,2
2023-07-17,2,1
2023-07-18,1,1
2023-07-19,2,1
2023-07-20,1,1
2023-07-23,2,2
2023-07-24,2,1
2023-07-25,2,2
2023-07-26,2,1
2023-07-28,23,3
2023-07-29,1,1
2023-07-30,1,1
2023-07-31,2,1
2023-08-01,2,1
2023-08-02,1,1
2023-08-03,3,3
2023-08-04,1,1
2023-08-05,2,2
2023-08-06,4,4
2023-08-07,3,2
2023-08-08,2,2
2023-08-09,2,2
2023-08-11,1,1
2023-08-13,1,1
2023-08-14,2,1
2023-08-17,1,1
2023-08-20,3,2
2023-08-21,3,2
2023-08-23,2,2
2023-08-27,2,2
2023-08-28,3,2
2023-08-29,1,1
2023-08-30,1,1
2023-08-31,2,2
2023-09-03,1,1
2023-09-04,2,1
2023-09-05,5,5
2023-09-09,4,4
2023-09-10,3,3
2023-09-11,2,1
2023-09-12,2,2
2023-09-13,55,37
2023-09-14,1,1
2023-09-15,3,3
2023-09-16,1,1
2023-09-17,1,1
2023-09-18,3,2
2023-09-20,2,2
2023-09-22,3,1
2023-09-24,1,1
2023-09-25,5,3
2023-09-26,1,1
2023-09-28,4,3
2023-09-29,1,1
2023-10-01,1,1
2023-10-02,14,2
2023-10-04,2,2
2023-10-08,1,1
2023-10-09,16,4
2023-10-10,5,4
2023-10-11,1,1
2023-10-15,1,1
2023-10-16,6,5
2023-10-17,1,1
2023-10-18,3,2
2023-10-21,1,1
2023-10-22,1,1
2023-10-23,3,2
2023-10-24,1,1
2023-10-25,1,1
2023-10-26,1,1
2023-10-27,13,2
2023-10-29,1,1
2023-10-30,2,1
2023-11-01,1,1
2023-11-02,1,1
2023-11-03,1,1
2023-11-04,1,1
